LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LELAND YEE,DEREK CRESSMAN,DAVID CURTIS,ALEX PADILLA,PETE PETERSON,JEFFREY H DROBMAN,ROY ALLMOND,DAN SCHNUR
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,3919,4330,1473,28759,8123,1497,1642,1728
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,5004,2734,957,19364,7556,1401,1481,2583
1ST SUPERVISORIAL,N,795106,TOTAL,103746,8923,7064,2430,48123,15679,2898,3123,4311
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,5534,6920,1680,36588,6960,2932,1708,1977
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,6866,5433,1153,24016,6169,2747,1573,2390
2ND SUPERVISORIAL,N,902623,TOTAL,131237,12400,12353,2833,60604,13129,5679,3281,4367
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,5328,11209,2765,34097,18340,3155,3005,5493
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,6628,8442,2053,29598,18599,3515,3059,6511
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,11956,19651,4818,63695,36939,6670,6064,12004
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,7084,8288,2478,30492,28757,3400,5611,5892
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,9611,6366,1995,25739,28362,3559,5351,7760
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,16695,14654,4473,56231,57119,6959,10962,13652
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,5429,5620,1851,26545,30650,2265,5634,6063
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,7836,4602,2014,26078,31462,3117,5466,8472
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,13265,10222,3865,52623,62112,5382,11100,14535
